,Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop
0,04/08/2022,51540,14,Charlottesville city,VA,79.2,27662.0,58.5,27639.0,61.8,26886.0,64.4,25460.0,64.1,4585.0,79.2,23859.0,50.5,23846.0,53.3,1911.0,38.3,23176.0,55.5,21935.0,55.2,4164.0,71.9,2521.0,10.6,2520.0,10.9,2390.0,10.9,1184.0,13.9,654.0,15.7,B,6.0,6.0,6.0,6.0,6.0,7.0,Metro,2.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,47266.0,44704.0,4984.0,41773.0,39720.0,5790.0
1,04/07/2022,51540,14,Charlottesville city,VA,79.2,27651.0,58.5,27628.0,61.8,26875.0,64.3,25451.0,64.1,4578.0,79.1,23853.0,50.5,23840.0,53.3,1911.0,38.3,23170.0,55.5,21929.0,55.2,4159.0,71.8,2518.0,10.6,2517.0,10.9,2388.0,10.9,1182.0,13.9,653.0,15.7,B,6.0,6.0,6.0,6.0,6.0,7.0,Metro,2.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,47266.0,44704.0,4984.0,41773.0,39720.0,5790.0
2,04/06/2022,51540,14,Charlottesville city,VA,79.2,27659.0,58.5,27636.0,61.8,26883.0,64.4,25459.0,64.1,4578.0,79.1,23858.0,50.5,23845.0,53.3,1910.0,38.3,23176.0,55.5,21935.0,55.2,4162.0,71.9,2514.0,10.5,2513.0,10.8,2384.0,10.9,1181.0,13.9,652.0,15.7,B,6.0,6.0,6.0,6.0,6.0,7.0,Metro,2.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,47266.0,44704.0,4984.0,41773.0,39720.0,5790.0
3,04/05/2022,51540,14,Charlottesville city,VA,79.2,27655.0,58.5,27632.0,61.8,26881.0,64.4,25457.0,64.1,4577.0,79.1,23855.0,50.5,23842.0,53.3,1910.0,38.3,23173.0,55.5,21932.0,55.2,4160.0,71.8,2509.0,10.5,2508.0,10.8,2382.0,10.9,1179.0,13.9,651.0,15.6,B,6.0,6.0,6.0,6.0,6.0,7.0,Metro,2.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,47266.0,44704.0,4984.0,41773.0,39720.0,5790.0
4,04/04/2022,51540,14,Charlottesville city,VA,79.2,27651.0,58.5,27628.0,61.8,26877.0,64.3,25453.0,64.1,4575.0,79.0,23854.0,50.5,23841.0,53.3,1910.0,38.3,23172.0,55.5,21931.0,55.2,4159.0,71.8,2509.0,10.5,2508.0,10.8,2382.0,10.9,1179.0,13.9,651.0,15.7,B,6.0,6.0,6.0,6.0,6.0,7.0,Metro,2.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,47266.0,44704.0,4984.0,41773.0,39720.0,5790.0
5,04/03/2022,51540,14,Charlottesville city,VA,79.2,27649.0,58.5,27626.0,61.8,26875.0,64.3,25451.0,64.1,4573.0,79.0,23851.0,50.5,23838.0,53.3,1910.0,38.3,23169.0,55.5,21928.0,55.2,4157.0,71.8,2507.0,10.5,2506.0,10.8,2380.0,10.9,1177.0,13.8,650.0,15.6,B,6.0,6.0,6.0,6.0,6.0,7.0,Metro,2.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,47266.0,44704.0,4984.0,41773.0,39720.0,5790.0
6,04/02/2022,51540,13,Charlottesville city,VA,79.2,27641.0,58.5,27619.0,61.8,26869.0,64.3,25445.0,64.1,4572.0,79.0,23843.0,50.4,23830.0,53.3,1909.0,38.3,23162.0,55.4,21921.0,55.2,4156.0,71.8,2502.0,10.5,2501.0,10.8,2375.0,10.8,1175.0,13.8,649.0,15.6,B,6.0,6.0,6.0,6.0,6.0,7.0,Metro,2.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,47266.0,44704.0,4984.0,41773.0,39720.0,5790.0
7,04/01/2022,51540,13,Charlottesville city,VA,79.2,27638.0,58.5,27616.0,61.8,26867.0,64.3,25443.0,64.1,4571.0,78.9,23840.0,50.4,23827.0,53.3,1909.0,38.3,23159.0,55.4,21918.0,55.2,4156.0,71.8,2499.0,10.5,2498.0,10.8,2372.0,10.8,1174.0,13.8,648.0,15.6,B,6.0,6.0,6.0,6.0,6.0,7.0,Metro,2.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,47266.0,44704.0,4984.0,41773.0,39720.0,5790.0
8,03/31/2022,51540,13,Charlottesville city,VA,79.2,27635.0,58.5,27613.0,61.8,26865.0,64.3,25441.0,64.1,4571.0,78.9,23836.0,50.4,23823.0,53.3,1906.0,38.2,23157.0,55.4,21917.0,55.2,4156.0,71.8,2494.0,10.5,2493.0,10.8,2368.0,10.8,1172.0,13.8,646.0,15.5,B,6.0,6.0,6.0,6.0,6.0,7.0,Metro,2.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,47266.0,44704.0,4984.0,41773.0,39720.0,5790.0
9,03/30/2022,51540,13,Charlottesville city,VA,79.2,27635.0,58.5,27613.0,61.8,26865.0,64.3,25441.0,64.1,4571.0,78.9,23835.0,50.4,23822.0,53.3,1906.0,38.2,23156.0,55.4,21916.0,55.2,4155.0,71.8,2490.0,10.4,2489.0,10.7,2365.0,10.8,1170.0,13.8,644.0,15.5,B,6.0,6.0,6.0,6.0,6.0,7.0,Metro,2.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,47266.0,44704.0,4984.0,41773.0,39720.0,5790.0
