countyFIPS,County Name,State,Population,Land Area in square miles,Population Density,Cases in given period,Deaths in given period,Percentage of fully vaccinated,Percentage of vaccinated with booster
1001,Autauga County ,AL,55869,594.44,93.99,2610,5,40.15,26.4
1003,Baldwin County ,AL,223234,1589.78,140.42,11900,17,48.2,28.95
1005,Barbour County ,AL,24686,884.88,27.9,1335,2,42.55,24.5
1007,Bibb County ,AL,22394,622.58,35.97,1407,0,33.05,26.45
1009,Blount County ,AL,57826,644.78,89.68,2523,11,30.05,26.0
1011,Bullock County ,AL,10101,622.81,16.22,611,0,48.85,24.3
1013,Butler County ,AL,19448,776.83,25.04,1039,4,37.55,25.3
1015,Calhoun County ,AL,113605,605.87,187.51,5782,21,44.95,28.85
1017,Chambers County ,AL,33254,596.53,55.75,2033,4,29.75,29.75
1019,Cherokee County ,AL,26196,553.7,47.31,1286,3,29.9,30.4
1021,Chilton County ,AL,44428,692.85,64.12,2232,7,34.55,24.85
1023,Choctaw County ,AL,12589,913.5,13.78,646,1,62.95,29.4
1025,Clarke County ,AL,23622,1238.47,19.07,1545,2,48.9,28.25
1027,Clay County ,AL,13235,603.96,21.91,1080,2,40.55,24.25
1029,Cleburne County ,AL,14910,560.1,26.62,554,2,28.8,28.75
1031,Coffee County ,AL,52342,678.97,77.09,2705,7,41.45,23.2
1033,Colbert County ,AL,55241,592.62,93.21,4784,5,46.05,29.8
1035,Conecuh County ,AL,12067,850.16,14.19,666,1,41.05,24.25
1037,Coosa County ,AL,10663,650.93,16.38,717,1,38.8,32.1
1039,Covington County ,AL,37049,1030.46,35.95,1553,6,36.55,24.95
1041,Crenshaw County ,AL,13772,608.84,22.62,748,2,32.85,26.6
1043,Cullman County ,AL,83768,734.84,113.99,5160,12,36.75,29.9
1045,Dale County ,AL,49172,561.15,87.63,2264,7,48.35,20.4
1047,Dallas County ,AL,37196,978.7,38.01,1975,7,42.65,31.0
1049,DeKalb County ,AL,71513,777.09,92.03,3518,12,32.15,28.3
1051,Elmore County ,AL,81209,618.49,131.3,4321,6,43.2,24.7
1053,Escambia County ,AL,36633,945.08,38.76,2215,4,34.7,26.1
1055,Etowah County ,AL,102268,534.99,191.16,5491,8,39.35,30.0
1057,Fayette County ,AL,16302,627.66,25.97,814,0,33.4,27.2
1059,Franklin County ,AL,31362,633.82,49.48,2143,8,41.75,26.9
1061,Geneva County ,AL,26271,574.41,45.74,856,4,37.75,26.4
1063,Greene County ,AL,8111,647.11,12.53,353,2,48.25,37.25
1065,Hale County ,AL,14651,643.94,22.75,1000,5,58.4,32.2
1067,Henry County ,AL,17205,561.75,30.63,770,1,43.35,27.4
1069,Houston County ,AL,105882,579.82,182.61,4647,17,41.15,27.25
1071,Jackson County ,AL,51626,1077.87,47.9,2767,8,46.75,30.7
1073,Jefferson County ,AL,658573,1111.28,592.63,49406,29,54.9,31.4
1075,Lamar County ,AL,13805,604.85,22.82,671,5,41.8,33.05
1077,Lauderdale County ,AL,92729,667.7,138.88,5881,19,44.25,30.35
1079,Lawrence County ,AL,32924,690.68,47.67,1753,9,45.25,29.65
1081,Lee County ,AL,164542,607.54,270.83,8782,9,37.55,27.8
1083,Limestone County ,AL,98915,559.94,176.65,5710,12,36.1,26.85
1085,Lowndes County ,AL,9726,715.91,13.59,588,0,46.7,29.75
1087,Macon County ,AL,18068,608.89,29.67,978,1,45.2,29.5
1089,Madison County ,AL,372909,801.59,465.21,23239,43,58.4,31.0
1091,Marengo County ,AL,18863,976.88,19.31,941,0,52.0,28.6
1093,Marion County ,AL,29709,742.29,40.02,1653,2,34.95,29.75
1095,Marshall County ,AL,96774,565.84,171.03,5176,15,43.4,28.0
1097,Mobile County ,AL,413210,1229.44,336.1,28379,41,47.1,28.6
1099,Monroe County ,AL,20733,1025.68,20.21,1330,1,41.75,27.8
1101,Montgomery County ,AL,226486,784.25,288.79,13890,19,49.7,27.1
1103,Morgan County ,AL,119679,579.34,206.58,8968,23,41.7,31.5
1105,Perry County ,AL,8923,719.66,12.4,420,-1,46.15,31.75
1107,Pickens County ,AL,19930,881.41,22.61,1342,1,46.85,27.85
1109,Pike County ,AL,33114,672.09,49.27,1460,5,39.85,25.9
1111,Randolph County ,AL,22722,580.55,39.14,1228,2,31.7,29.85
1113,Russell County ,AL,57961,641.14,90.4,1890,3,37.95,24.45
1115,St. Clair County ,AL,89512,631.9,141.66,5781,9,37.35,28.25
1117,Shelby County ,AL,217702,784.93,277.35,14477,17,34.5,27.05
1119,Sumter County ,AL,12427,903.89,13.75,709,0,48.0,29.65
1121,Talladega County ,AL,79978,736.78,108.55,5166,12,35.05,30.15
1123,Tallapoosa County ,AL,40367,716.52,56.34,2917,6,37.2,33.95
1125,Tuscaloosa County ,AL,209355,1321.76,158.39,13068,26,41.65,29.1
1127,Walker County ,AL,63521,791.19,80.29,3483,6,45.25,28.25
1129,Washington County ,AL,16326,1080.21,15.11,728,1,44.1,26.75
1131,Wilcox County ,AL,10373,888.5,11.67,719,0,50.65,31.25
1133,Winston County ,AL,23629,612.98,38.55,1490,3,21.1,27.6
2013,Aleutians East Borough ,AK,3337,6981.94,0.48,258,0,71.1,23.7
2016,Aleutians West Census Area ,AK,5634,4390.28,1.28,442,0,58.95,25.8
2020,Municipality of Anchorage,AK,288000,1704.68,168.95,29734,48,60.6,36.7
2050,Bethel Census Area ,AK,18386,40570.0,0.45,1188,9,64.05,39.55
2060,Bristol Bay Borough ,AK,836,503.84,1.66,0,0,95.0,34.9
2068,Denali Borough ,AK,2097,12751.41,0.16,53,0,50.2,43.95
2070,Dillingham Census Area ,AK,4916,18568.78,0.26,257,1,48.1,38.6
2090,Fairbanks North Star Borough ,AK,96849,7338.21,13.2,6816,9,53.7,29.0
2100,Haines Borough ,AK,2530,2318.6,1.09,156,0,67.05,45.45
