countyFIPS,County Name,State,Population,Land Area in square miles,Population Density,Cases in given period,Deaths in given period,Percentage of fully vaccinated,Percentage of vaccinated with booster,Infections per 10k inhabitants,Deaths per 10k inhabitants
1001,Autauga County ,AL,55869,594.44,93.99,2610,5,37.8,22.3,467.16,0.89
1003,Baldwin County ,AL,223234,1589.78,140.42,11900,17,46.9,25.0,533.07,0.76
1005,Barbour County ,AL,24686,884.88,27.9,1335,2,41.4,18.8,540.79,0.81
1007,Bibb County ,AL,22394,622.58,35.97,1407,0,32.3,22.0,628.29,0.0
1009,Blount County ,AL,57826,644.78,89.68,2523,11,29.3,21.3,436.31,1.9
1011,Bullock County ,AL,10101,622.81,16.22,611,0,46.7,21.3,604.89,0.0
1013,Butler County ,AL,19448,776.83,25.04,1039,4,36.8,21.1,534.25,2.06
1015,Calhoun County ,AL,113605,605.87,187.51,5782,21,44.2,24.5,508.96,1.85
1017,Chambers County ,AL,33254,596.53,55.75,2033,4,29.2,25.5,611.36,1.2
1019,Cherokee County ,AL,26196,553.7,47.31,1286,3,29.8,25.8,490.91,1.15
1021,Chilton County ,AL,44428,692.85,64.12,2232,7,33.8,20.3,502.39,1.58
1023,Choctaw County ,AL,12589,913.5,13.78,646,1,61.7,25.3,513.15,0.79
1025,Clarke County ,AL,23622,1238.47,19.07,1545,2,47.9,23.9,654.05,0.85
1027,Clay County ,AL,13235,603.96,21.91,1080,2,40.3,20.8,816.02,1.51
1029,Cleburne County ,AL,14910,560.1,26.62,554,2,29.6,25.1,371.56,1.34
1031,Coffee County ,AL,52342,678.97,77.09,2705,7,37.1,21.1,516.79,1.34
1033,Colbert County ,AL,55241,592.62,93.21,4784,5,45.2,25.1,866.02,0.91
1035,Conecuh County ,AL,12067,850.16,14.19,666,1,39.7,20.2,551.92,0.83
1037,Coosa County ,AL,10663,650.93,16.38,717,1,37.9,27.5,672.42,0.94
1039,Covington County ,AL,37049,1030.46,35.95,1553,6,35.8,21.0,419.17,1.62
1041,Crenshaw County ,AL,13772,608.84,22.62,748,2,32.1,22.6,543.13,1.45
1043,Cullman County ,AL,83768,734.84,113.99,5160,12,36.1,25.7,615.99,1.43
1045,Dale County ,AL,49172,561.15,87.63,2264,7,50.4,15.7,460.42,1.42
1047,Dallas County ,AL,37196,978.7,38.01,1975,7,41.6,26.2,530.97,1.88
1049,DeKalb County ,AL,71513,777.09,92.03,3518,12,31.5,23.9,491.94,1.68
1051,Elmore County ,AL,81209,618.49,131.3,4321,6,41.7,20.0,532.08,0.74
1053,Escambia County ,AL,36633,945.08,38.76,2215,4,34.0,22.1,604.65,1.09
1055,Etowah County ,AL,102268,534.99,191.16,5491,8,38.6,25.7,536.92,0.78
1057,Fayette County ,AL,16302,627.66,25.97,814,0,32.6,22.9,499.33,0.0
1059,Franklin County ,AL,31362,633.82,49.48,2143,8,41.0,23.3,683.31,2.55
1061,Geneva County ,AL,26271,574.41,45.74,856,4,36.1,22.5,325.83,1.52
1063,Greene County ,AL,8111,647.11,12.53,353,2,47.3,33.9,435.21,2.47
1065,Hale County ,AL,14651,643.94,22.75,1000,5,57.2,26.8,682.55,3.41
1067,Henry County ,AL,17205,561.75,30.63,770,1,42.3,22.4,447.54,0.58
1069,Houston County ,AL,105882,579.82,182.61,4647,17,40.3,22.6,438.88,1.61
1071,Jackson County ,AL,51626,1077.87,47.9,2767,8,45.8,26.6,535.97,1.55
1073,Jefferson County ,AL,658573,1111.28,592.63,49406,29,53.6,26.6,750.2,0.44
1075,Lamar County ,AL,13805,604.85,22.82,671,5,40.8,28.6,486.06,3.62
1077,Lauderdale County ,AL,92729,667.7,138.88,5881,19,43.4,25.7,634.21,2.05
1079,Lawrence County ,AL,32924,690.68,47.67,1753,9,44.4,25.5,532.44,2.73
1081,Lee County ,AL,164542,607.54,270.83,8782,9,36.1,23.9,533.72,0.55
1083,Limestone County ,AL,98915,559.94,176.65,5710,12,34.3,23.0,577.26,1.21
1085,Lowndes County ,AL,9726,715.91,13.59,588,0,44.9,25.7,604.57,0.0
1087,Macon County ,AL,18068,608.89,29.67,978,1,44.2,24.8,541.29,0.55
1089,Madison County ,AL,372909,801.59,465.21,23239,43,56.7,26.2,623.18,1.15
1091,Marengo County ,AL,18863,976.88,19.31,941,0,51.0,23.7,498.86,0.0
1093,Marion County ,AL,29709,742.29,40.02,1653,2,34.4,25.9,556.4,0.67
1095,Marshall County ,AL,96774,565.84,171.03,5176,15,42.4,23.7,534.85,1.55
1097,Mobile County ,AL,413210,1229.44,336.1,28379,41,46.0,24.5,686.79,0.99
1099,Monroe County ,AL,20733,1025.68,20.21,1330,1,41.0,23.2,641.49,0.48
1101,Montgomery County ,AL,226486,784.25,288.79,13890,19,49.2,21.9,613.28,0.84
1103,Morgan County ,AL,119679,579.34,206.58,8968,23,40.8,26.6,749.34,1.92
1105,Perry County ,AL,8923,719.66,12.4,420,-1,45.3,27.0,470.69,-1.12
1107,Pickens County ,AL,19930,881.41,22.61,1342,1,45.9,23.8,673.36,0.5
1109,Pike County ,AL,33114,672.09,49.27,1460,5,39.0,20.9,440.9,1.51
1111,Randolph County ,AL,22722,580.55,39.14,1228,2,31.5,24.9,540.45,0.88
1113,Russell County ,AL,57961,641.14,90.4,1890,3,36.9,21.2,326.08,0.52
1115,St. Clair County ,AL,89512,631.9,141.66,5781,9,36.6,22.7,645.84,1.01
1117,Shelby County ,AL,217702,784.93,277.35,14477,17,33.7,22.0,664.99,0.78
1119,Sumter County ,AL,12427,903.89,13.75,709,0,46.9,25.4,570.53,0.0
1121,Talladega County ,AL,79978,736.78,108.55,5166,12,34.4,26.1,645.93,1.5
1123,Tallapoosa County ,AL,40367,716.52,56.34,2917,6,36.7,29.2,722.62,1.49
1125,Tuscaloosa County ,AL,209355,1321.76,158.39,13068,26,40.8,24.4,624.2,1.24
1127,Walker County ,AL,63521,791.19,80.29,3483,6,44.4,23.7,548.32,0.94
1129,Washington County ,AL,16326,1080.21,15.11,728,1,43.4,22.8,445.91,0.61
1131,Wilcox County ,AL,10373,888.5,11.67,719,0,49.4,27.0,693.15,0.0
1133,Winston County ,AL,23629,612.98,38.55,1490,3,20.7,24.0,630.58,1.27
2013,Aleutians East Borough ,AK,3337,6981.94,0.48,258,0,70.8,22.7,773.15,0.0
2016,Aleutians West Census Area ,AK,5634,4390.28,1.28,442,0,58.0,22.5,784.52,0.0
2020,Municipality of Anchorage,AK,288000,1704.68,168.95,29734,48,59.2,33.0,1032.43,1.67
2050,Bethel Census Area ,AK,18386,40570.0,0.45,1188,9,63.0,39.3,646.14,4.9
2060,Bristol Bay Borough ,AK,836,503.84,1.66,0,0,95.0,32.4,0.0,0.0
2068,Denali Borough ,AK,2097,12751.41,0.16,53,0,49.6,41.0,252.74,0.0
2070,Dillingham Census Area ,AK,4916,18568.78,0.26,257,1,46.9,35.9,522.78,2.03
2090,Fairbanks North Star Borough ,AK,96849,7338.21,13.2,6816,9,52.2,25.8,703.78,0.93
2100,Haines Borough ,AK,2530,2318.6,1.09,156,0,66.2,40.6,616.6,0.0
2105,Hoonah-Angoon Census Area ,AK,2148,7524.92,0.29,0,0,69.3,52.4,0.0,0.0
2110,City and Borough of Juneau,AK,31974,2701.93,11.83,2700,3,69.5,44.4,844.44,0.94
2122,Kenai Peninsula Borough ,AK,58708,16075.33,3.65,3003,12,43.7,37.3,511.51,2.04
2130,Ketchikan Gateway Borough ,AK,13901,4858.41,2.86,1034,4,60.7,34.0,743.83,2.88
2150,Kodiak Island Borough ,AK,12998,6549.58,1.98,1580,0,60.6,34.6,1215.57,0.0
2158,Kusilvak Census Area ,AK,8314,17081.43,0.49,0,0,63.8,33.5,0.0,0.0
2164,Lake and Peninsula Borough ,AK,1592,23652.01,0.07,0,0,55.0,43.3,0.0,0.0
2170,Matanuska-Susitna Borough ,AK,108317,24607.9,4.4,6151,39,35.7,28.6,567.87,3.6
2180,Nome Census Area ,AK,10004,22961.76,0.44,1551,0,65.3,40.1,1550.38,0.0
2185,North Slope Borough ,AK,9832,88695.41,0.11,652,1,36.3,38.1,663.14,1.02
2188,Northwest Arctic Borough ,AK,7621,35572.58,0.21,973,2,54.6,43.7,1276.74,2.62
2195,Petersburg Borough ,AK,3266,3281.98,1.0,0,0,70.6,46.0,0.0,0.0
2198,Prince of Wales - Hyder Census Area ,AK,6203,3922.87,1.58,0,0,51.3,32.8,0.0,0.0
2220,City and Borough of Sitka,AK,8493,2870.34,2.96,660,0,71.9,47.2,777.11,0.0
2230,Municipality of Skagway,AK,1183,452.33,2.62,0,0,70.8,38.4,0.0,0.0
2240,Southeast Fairbanks Census Area ,AK,6893,24768.81,0.28,313,3,31.7,30.9,454.08,4.35
2261,Valdez-Cordova Census Area ,AK,9202,34239.88,0.27,367,4,54.9,36.9,398.83,4.35
2275,City and Borough of Wrangell,AK,2502,2541.48,0.98,0,0,56.1,38.3,0.0,0.0
2282,City and Borough of Yakutat,AK,579,7649.46,0.08,0,0,73.4,40.5,0.0,0.0
2290,Yukon-Koyukuk Census Area ,AK,5230,145504.79,0.04,298,0,64.6,40.2,569.79,0.0
4001,Apache County ,AZ,71887,11197.52,6.42,4699,42,86.1,36.8,653.66,5.84
4003,Cochise County ,AZ,125922,6165.69,20.42,8862,74,58.4,25.9,703.77,5.88
4005,Coconino County ,AZ,143476,18618.89,7.71,14263,37,72.1,31.4,994.1,2.58
4007,Gila County ,AZ,54018,4757.93,11.35,3864,46,54.7,33.2,715.32,8.52
4009,Graham County ,AZ,38837,4622.6,8.4,2294,20,57.7,25.6,590.67,5.15
4011,Greenlee County ,AZ,9498,1843.13,5.15,643,7,39.9,30.4,676.98,7.37
4012,La Paz County ,AZ,21108,4499.63,4.69,1263,11,45.2,19.4,598.35,5.21
4013,Maricopa County ,AZ,4485414,9200.14,487.54,350869,1484,52.7,25.8,782.24,3.31
4015,Mohave County ,AZ,212181,13311.08,15.94,15879,168,38.7,25.7,748.37,7.92
4017,Navajo County ,AZ,110924,9950.42,11.15,9433,98,67.0,31.5,850.4,8.83
4019,Pima County ,AZ,1047279,9187.04,114.0,67591,419,62.9,29.5,645.4,4.0
4021,Pinal County ,AZ,462789,5365.61,86.25,35685,188,49.2,23.4,771.09,4.06
4023,Santa Cruz County ,AZ,46498,1236.92,37.59,5496,10,95.0,24.6,1181.99,2.15
4025,Yavapai County ,AZ,235099,8123.5,28.94,10035,174,43.7,30.1,426.84,7.4
4027,Yuma County ,AZ,213787,5513.99,38.77,15771,103,62.7,22.9,737.7,4.82
5001,Arkansas County ,AR,17486,988.77,17.68,1808,6,52.5,30.7,1033.97,3.43
5003,Ashley County ,AR,19657,925.35,21.24,1463,4,46.9,24.3,744.26,2.03
5005,Baxter County ,AR,41932,554.28,75.65,1736,22,44.8,31.3,414.0,5.25
5007,Benton County ,AR,279141,847.36,329.42,17758,65,49.2,27.8,636.17,2.33
5009,Boone County ,AR,37432,590.23,63.42,2152,13,35.0,28.4,574.91,3.47
5011,Bradley County ,AR,10763,649.23,16.58,800,1,53.2,24.7,743.29,0.93
5013,Calhoun County ,AR,5189,628.58,8.26,226,1,34.7,25.4,435.54,1.93
5015,Carroll County ,AR,28380,630.09,45.04,1244,9,43.9,24.7,438.34,3.17
5017,Chicot County ,AR,10118,644.3,15.7,609,3,51.7,25.2,601.9,2.97
5019,Clark County ,AR,22320,866.07,25.77,1472,6,45.9,31.6,659.5,2.69
5021,Clay County ,AR,14551,639.47,22.75,931,1,43.0,32.5,639.82,0.69
5023,Cleburne County ,AR,24919,553.69,45.01,1860,9,41.3,32.7,746.42,3.61
5025,Cleveland County ,AR,7956,597.78,13.31,685,-1,49.3,31.0,860.99,-1.26
5027,Columbia County ,AR,23457,766.05,30.62,1462,2,45.2,21.8,623.27,0.85
5029,Conway County ,AR,20846,552.25,37.75,1748,2,50.7,32.5,838.53,0.96
5031,Craighead County ,AR,110332,707.21,156.01,11824,24,41.8,29.8,1071.67,2.18
5033,Crawford County ,AR,63257,593.09,106.66,3804,21,42.9,25.2,601.36,3.32
5035,Crittenden County ,AR,47955,609.76,78.65,4145,11,41.3,20.9,864.35,2.29
5037,Cross County ,AR,16419,616.38,26.64,1377,4,48.6,25.4,838.66,2.44
5039,Dallas County ,AR,7009,667.39,10.5,476,3,53.6,30.9,679.13,4.28
5041,Desha County ,AR,11361,768.15,14.79,908,0,55.3,27.5,799.23,0.0
5043,Drew County ,AR,18219,828.36,21.99,1357,2,45.0,29.1,744.83,1.1
5045,Faulkner County ,AR,126007,647.88,194.49,12093,35,45.7,30.5,959.71,2.78
5047,Franklin County ,AR,17715,608.86,29.1,776,6,46.1,25.7,438.05,3.39
5049,Fulton County ,AR,12477,618.19,20.18,579,10,30.4,32.4,464.05,8.01
5051,Garland County ,AR,99386,677.78,146.63,4644,31,42.7,29.2,467.27,3.12
5053,Grant County ,AR,18265,631.81,28.91,1131,2,43.9,24.8,619.22,1.09
5055,Greene County ,AR,45325,577.7,78.46,4288,11,40.4,28.8,946.06,2.43
5057,Hempstead County ,AR,21532,727.52,29.6,1123,8,36.6,15.8,521.55,3.72
5059,Hot Spring County ,AR,33771,615.2,54.89,2501,2,40.3,29.8,740.58,0.59
5061,Howard County ,AR,13202,588.55,22.43,988,2,51.3,21.3,748.37,1.51
5063,Independence County ,AR,37825,763.95,49.51,2676,16,38.1,33.4,707.47,4.23
5065,Izard County ,AR,13629,580.58,23.47,884,6,35.6,31.7,648.62,4.4
5067,Jackson County ,AR,16719,633.94,26.37,998,2,35.9,33.5,596.93,1.2
5069,Jefferson County ,AR,66824,870.75,76.74,5270,12,40.8,24.7,788.64,1.8
5071,Johnson County ,AR,26578,659.8,40.28,1488,4,46.2,24.2,559.86,1.51
5073,Lafayette County ,AR,6624,528.27,12.54,334,0,39.3,22.3,504.23,0.0
5075,Lawrence County ,AR,16406,587.61,27.92,1184,3,43.6,27.4,721.69,1.83
5077,Lee County ,AR,8857,602.62,14.7,564,1,31.2,27.3,636.78,1.13
5079,Lincoln County ,AR,13024,561.52,23.19,943,2,32.7,23.4,724.05,1.54
5081,Little River County ,AR,12259,532.25,23.03,907,1,37.0,18.9,739.86,0.82
5083,Logan County ,AR,21466,708.13,30.31,979,6,44.5,26.4,456.07,2.8
5085,Lonoke County ,AR,73309,770.73,95.12,5988,22,44.5,25.5,816.82,3.0
5087,Madison County ,AR,16576,834.26,19.87,871,3,40.4,27.3,525.46,1.81
5089,Marion County ,AR,16694,597.01,27.96,624,9,34.1,29.5,373.79,5.39
5091,Miller County ,AR,43257,625.58,69.15,2001,7,28.7,7.4,462.58,1.62
5093,Mississippi County ,AR,40651,900.57,45.14,3597,15,38.0,24.5,884.85,3.69
5095,Monroe County ,AR,6701,607.12,11.04,623,2,52.0,27.4,929.71,2.98
5097,Montgomery County ,AR,8986,779.88,11.52,243,2,34.8,30.3,270.42,2.23
5099,Nevada County ,AR,8252,617.84,13.36,597,1,41.0,16.1,723.46,1.21
5101,Newton County ,AR,7753,820.9,9.44,354,4,32.0,31.4,456.6,5.16
5103,Ouachita County ,AR,23382,732.78,31.91,1525,4,51.4,27.6,652.21,1.71
5105,Perry County ,AR,10455,551.4,18.96,699,4,48.9,24.6,668.58,3.83
5107,Phillips County ,AR,17782,695.66,25.56,1297,5,46.1,27.4,729.39,2.81
5109,Pike County ,AR,10718,600.62,17.84,588,1,39.9,22.2,548.61,0.93
5111,Poinsett County ,AR,23528,758.39,31.02,2144,6,42.0,28.4,911.25,2.55
5113,Polk County ,AR,19964,857.68,23.28,800,15,33.0,19.8,400.72,7.51
5115,Pope County ,AR,64072,812.55,78.85,4835,10,46.6,27.2,754.62,1.56
5117,Prairie County ,AR,8062,647.96,12.44,540,4,40.3,23.4,669.81,4.96
5119,Pulaski County ,AR,391911,759.76,515.84,35933,81,54.0,33.8,916.87,2.07
5121,Randolph County ,AR,17958,652.19,27.53,969,8,37.8,28.9,539.59,4.45
5123,St. Francis County ,AR,24994,634.77,39.37,1869,3,46.9,21.1,747.78,1.2
5125,Saline County ,AR,122437,723.6,169.21,9708,26,47.1,28.4,792.9,2.12
5127,Scott County ,AR,10281,892.32,11.52,355,2,45.2,20.3,345.3,1.95
5129,Searcy County ,AR,7881,666.1,11.83,543,11,37.0,30.7,689.0,13.96
5131,Sebastian County ,AR,127827,531.91,240.32,7483,23,46.0,24.7,585.4,1.8
5133,Sevier County ,AR,17007,565.13,30.09,1285,2,42.2,19.1,755.57,1.18
5135,Sharp County ,AR,17442,604.44,28.86,962,9,36.6,31.6,551.54,5.16
5137,Stone County ,AR,12506,606.41,20.62,633,5,34.5,39.5,506.16,4.0
5139,Union County ,AR,38682,1039.21,37.22,2570,13,45.1,23.2,664.39,3.36
5141,Van Buren County ,AR,16545,708.14,23.36,859,4,40.0,37.6,519.19,2.42
5143,Washington County ,AR,239187,941.97,253.92,17560,31,51.2,27.2,734.15,1.3
5145,White County ,AR,78753,1035.08,76.08,5711,18,41.8,25.6,725.18,2.29
5147,Woodruff County ,AR,6320,586.79,10.77,434,0,53.7,22.5,686.71,0.0
5149,Yell County ,AR,21341,929.98,22.95,1595,9,45.7,23.5,747.39,4.22
6001,Alameda County ,CA,1671329,739.02,2261.55,108241,95,75.6,35.8,647.63,0.57
6003,Alpine County ,CA,1129,738.33,1.53,13,0,0.0,0.0,115.15,0.0
6005,Amador County ,CA,39752,594.58,66.86,1864,4,52.1,22.4,468.91,1.01
6007,Butte County ,CA,219186,1636.46,133.94,8430,26,49.8,30.7,384.6,1.19
6009,Calaveras County ,CA,45905,1020.01,45.0,2172,5,59.6,20.1,473.15,1.09
6011,Colusa County ,CA,21547,1150.73,18.72,554,0,54.7,17.1,257.11,0.0
6013,Contra Costa County ,CA,1153526,715.94,1611.2,70129,51,75.7,36.4,607.95,0.44
6015,Del Norte County ,CA,27812,1006.37,27.64,1088,0,39.5,32.3,391.2,0.0
6017,El Dorado County ,CA,192843,1707.88,112.91,7622,14,59.0,34.7,395.24,0.73
6019,Fresno County ,CA,999101,5957.99,167.69,63587,129,55.7,26.0,636.44,1.29
6021,Glenn County ,CA,28393,1313.95,21.61,1052,0,50.5,24.7,370.51,0.0
6023,Humboldt County ,CA,135558,3567.99,37.99,5423,8,61.5,33.9,400.05,0.59
6025,Imperial County ,CA,181215,4176.6,43.39,15223,56,75.1,20.2,840.05,3.09
6027,Inyo County ,CA,18039,10180.88,1.77,1316,3,0.0,0.0,729.53,1.66
6029,Kern County ,CA,900202,8131.92,110.7,44701,94,48.0,23.0,496.57,1.04
6031,Kings County ,CA,152940,1389.42,110.07,13085,24,41.9,22.1,855.56,1.57
6033,Lake County ,CA,64386,1256.46,51.24,2169,4,55.2,24.1,336.87,0.62
6035,Lassen County ,CA,30573,4541.18,6.73,1100,0,35.6,22.1,359.79,0.0
6037,Los Angeles County ,CA,10039107,4057.88,2473.98,1056365,1585,66.1,30.2,1052.25,1.58
6039,Madera County ,CA,157327,2137.07,73.62,9320,16,48.7,25.3,592.4,1.02
6041,Marin County ,CA,258826,520.31,497.45,12488,4,83.0,44.6,482.49,0.15
6043,Mariposa County ,CA,17203,1448.82,11.87,736,0,0.0,0.0,427.83,0.0
6045,Mendocino County ,CA,86749,3506.34,24.74,3684,9,63.2,32.5,424.67,1.04
6047,Merced County ,CA,277680,1934.97,143.51,14281,54,47.4,16.8,514.3,1.94
6049,Modoc County ,CA,8841,3917.77,2.26,66,0,0.0,0.0,74.65,0.0
6051,Mono County ,CA,14444,3048.98,4.74,934,1,0.0,0.0,646.64,0.69
6053,Monterey County ,CA,434061,3280.6,132.31,16790,26,64.1,28.3,386.81,0.6
6055,Napa County ,CA,137744,748.36,184.06,9132,6,71.4,34.6,662.97,0.44
6057,Nevada County ,CA,99755,957.77,104.15,4823,4,60.0,36.6,483.48,0.4
6059,Orange County ,CA,3175692,790.57,4016.96,204557,262,66.5,32.9,644.13,0.83
6061,Placer County ,CA,398329,1407.01,283.1,19004,38,62.6,35.8,477.09,0.95
6063,Plumas County ,CA,18807,2553.04,7.37,551,-1,0.0,0.0,292.98,-0.53
6065,Riverside County ,CA,2470546,7206.48,342.82,179377,348,53.7,25.9,726.06,1.41
6067,Sacramento County ,CA,1552058,964.64,1608.95,89587,168,61.8,31.0,577.21,1.08
6069,San Benito County ,CA,62808,1388.71,45.23,4084,7,59.6,28.3,650.24,1.11
6071,San Bernardino County ,CA,2180085,20056.94,108.69,163670,278,52.2,23.5,750.75,1.28
6073,San Diego County ,CA,3338330,4206.63,793.59,301495,287,55.7,6.7,903.13,0.86
6075,City and County of San Francisco,CA,881549,46.87,18808.38,55577,33,79.0,43.0,630.45,0.37
6077,San Joaquin County ,CA,762148,1391.32,547.79,52053,128,57.2,15.5,682.98,1.68
6079,San Luis Obispo County ,CA,283111,3298.57,85.83,16793,31,56.2,39.6,593.16,1.09
6081,San Mateo County ,CA,766573,448.41,1709.54,47653,9,77.5,41.7,621.64,0.12
6083,Santa Barbara County ,CA,446499,2735.09,163.25,32526,43,65.1,29.9,728.47,0.96
6085,Santa Clara County ,CA,1927852,1290.1,1494.34,130383,96,80.1,38.5,676.31,0.5
6087,Santa Cruz County ,CA,273213,445.17,613.73,19825,14,72.9,31.5,725.62,0.51
6089,Shasta County ,CA,180080,3775.4,47.7,5384,33,46.5,28.5,298.98,1.83
6091,Sierra County ,CA,3005,953.21,3.15,62,0,0.0,0.0,206.32,0.0
6093,Siskiyou County ,CA,43539,6277.89,6.94,614,8,50.4,29.3,141.02,1.84
6095,Solano County ,CA,447643,821.77,544.73,25165,43,61.1,28.3,562.17,0.96
6097,Sonoma County ,CA,494336,1575.85,313.69,32550,22,72.2,36.3,658.46,0.45
6099,Stanislaus County ,CA,550660,1494.83,368.38,27778,71,54.8,14.7,504.45,1.29
6101,Sutter County ,CA,96971,602.41,160.97,4756,12,54.8,23.3,490.46,1.24
6103,Tehama County ,CA,65084,2949.71,22.06,2297,9,38.5,26.6,352.93,1.38
6105,Trinity County ,CA,12285,3179.25,3.86,248,2,0.0,0.0,201.87,1.63
6107,Tulare County ,CA,466195,4824.22,96.64,25142,123,48.0,24.5,539.3,2.64
6109,Tuolumne County ,CA,54478,2220.88,24.53,3446,1,56.5,20.9,632.55,0.18
6111,Ventura County ,CA,846006,1843.13,459.01,62474,83,66.3,30.6,738.46,0.98
6113,Yolo County ,CA,220500,1014.69,217.31,12389,6,64.8,33.3,561.86,0.27
6115,Yuba County ,CA,78668,631.84,124.51,4237,12,47.4,19.3,538.59,1.53
8001,Adams County ,CO,517421,1167.65,443.13,36583,167,62.9,30.6,707.03,3.23
8003,Alamosa County ,CO,16233,722.64,22.46,1097,6,52.7,38.6,675.78,3.7
8005,Arapahoe County ,CO,656590,798.1,822.69,48654,128,63.0,37.2,741.01,1.95
8007,Archuleta County ,CO,14029,1350.18,10.39,731,1,54.9,48.5,521.06,0.71
8009,Baca County ,CO,3581,2554.97,1.4,123,1,38.1,38.4,343.48,2.79
8011,Bent County ,CO,5577,1512.86,3.69,243,9,24.9,46.9,435.72,16.14
8013,Boulder County ,CO,326196,726.29,449.13,21567,26,74.2,45.0,661.17,0.8
8014,City and County of Broomfield,CO,70465,33.03,2133.36,4392,11,76.3,44.6,623.29,1.56
8015,Chaffee County ,CO,20356,1013.4,20.09,1248,2,61.4,50.1,613.09,0.98
8017,Cheyenne County ,CO,1831,1778.28,1.03,53,1,31.3,31.7,289.46,5.46
8019,Clear Creek County ,CO,9700,395.23,24.54,519,3,46.7,41.4,535.05,3.09
8021,Conejos County ,CO,8205,1287.39,6.37,401,5,45.2,37.7,488.73,6.09
8023,Costilla County ,CO,3887,1226.95,3.17,160,1,57.4,46.9,411.63,2.57
8025,Crowley County ,CO,6061,787.42,7.7,446,1,20.6,36.3,735.85,1.65
8027,Custer County ,CO,5068,738.63,6.86,113,5,45.4,44.2,222.97,9.87
8029,Delta County ,CO,31162,1142.05,27.29,767,10,45.0,39.6,246.13,3.21
8031,City and County of Denver,CO,727211,153.0,4753.01,53055,135,71.2,38.3,729.57,1.86
8033,Dolores County ,CO,2055,1067.05,1.93,63,2,39.2,40.6,306.57,9.73
8035,Douglas County ,CO,351154,840.25,417.92,24918,40,68.7,41.2,709.6,1.14
8037,Eagle County ,CO,55127,1684.53,32.73,5579,2,77.4,32.4,1012.03,0.36
8039,Elbert County ,CO,26729,1850.85,14.44,1324,3,35.1,35.4,495.34,1.12
8041,El Paso County ,CO,720403,2126.8,338.73,51414,167,58.4,30.7,713.68,2.32
8043,Fremont County ,CO,47839,1533.07,31.2,2754,23,40.7,31.8,575.68,4.81
8045,Garfield County ,CO,60061,2947.56,20.38,4243,7,60.3,36.4,706.45,1.17
8047,Gilpin County ,CO,6243,149.9,41.65,333,1,55.7,43.5,533.4,1.6
8049,Grand County ,CO,15734,1846.33,8.52,932,4,60.1,40.8,592.35,2.54
8051,Gunnison County ,CO,17462,3239.1,5.39,1013,1,66.3,45.6,580.12,0.57
8053,Hinsdale County ,CO,820,1117.25,0.73,50,0,60.4,48.7,609.76,0.0
8055,Huerfano County ,CO,6897,1591.0,4.34,404,5,51.0,39.9,585.76,7.25
8057,Jackson County ,CO,1392,1613.72,0.86,18,0,43.0,44.6,129.31,0.0
8059,Jefferson County ,CO,582881,764.21,762.72,36892,159,73.6,41.4,632.93,2.73
8061,Kiowa County ,CO,1406,1767.77,0.8,34,1,36.1,48.2,241.82,7.11
8063,Kit Carson County ,CO,7097,2160.82,3.28,267,5,36.3,30.7,376.22,7.05
8065,Lake County ,CO,8127,376.91,21.56,494,1,55.8,33.3,607.85,1.23
8067,La Plata County ,CO,56221,1692.08,33.23,4307,8,67.6,47.2,766.08,1.42
8069,Larimer County ,CO,356899,2596.0,137.48,22170,44,64.2,41.6,621.18,1.23
8071,Las Animas County ,CO,14506,4772.67,3.04,864,9,57.8,36.8,595.62,6.2
8073,Lincoln County ,CO,5701,2577.63,2.21,458,1,33.9,39.4,803.37,1.75
8075,Logan County ,CO,22409,1838.55,12.19,1176,9,36.0,34.1,524.79,4.02
8077,Mesa County ,CO,154210,3328.97,46.32,9206,61,46.6,39.8,596.98,3.96
8079,Mineral County ,CO,769,875.67,0.88,64,0,79.3,59.6,832.25,0.0
8081,Moffat County ,CO,13283,4743.29,2.8,507,3,40.7,30.6,381.69,2.26
8083,Montezuma County ,CO,26183,2029.53,12.9,1318,9,58.5,41.7,503.38,3.44
8085,Montrose County ,CO,42758,2240.7,19.08,1592,20,45.4,41.9,372.33,4.68
8087,Morgan County ,CO,29068,1280.43,22.7,1110,9,44.2,28.4,381.86,3.1
8089,Otero County ,CO,18278,1261.96,14.48,684,9,45.6,40.1,374.22,4.92
8091,Ouray County ,CO,4952,541.59,9.14,265,0,61.3,54.1,535.14,0.0
8093,Park County ,CO,18845,2193.85,8.59,830,4,44.9,40.5,440.44,2.12
8095,Phillips County ,CO,4265,687.93,6.2,197,0,48.5,27.1,461.9,0.0
8097,Pitkin County ,CO,17767,970.7,18.3,2577,0,78.1,34.9,1450.44,0.0
8099,Prowers County ,CO,12172,1638.4,7.43,391,3,40.1,32.4,321.23,2.46
8101,Pueblo County ,CO,168424,2386.1,70.59,11251,93,52.7,38.9,668.02,5.52
8103,Rio Blanco County ,CO,6324,3220.93,1.96,198,2,36.4,33.4,313.09,3.16
8105,Rio Grande County ,CO,11267,911.96,12.35,585,3,58.5,38.0,519.22,2.66
8107,Routt County ,CO,25638,2362.03,10.85,2026,0,71.8,48.9,790.23,0.0
8109,Saguache County ,CO,6824,3168.53,2.15,212,2,33.6,40.8,310.67,2.93
8111,San Juan County ,CO,728,387.49,1.88,81,0,89.3,39.6,1112.64,0.0
8113,San Miguel County ,CO,8179,1286.61,6.36,789,2,77.9,43.9,964.67,2.45
