countyFIPS,County Name,State,Population,Land Area in square miles,Population Density,Cases in given period,Deaths in given period,Percentage of fully vaccinated,Percentage of vaccinated with booster
1001,Autauga County ,AL,55869,594.44,93.99,2233,3,40.5,28.45
1003,Baldwin County ,AL,223234,1589.78,140.42,10402,15,48.6,30.35
1005,Barbour County ,AL,24686,884.88,27.9,1194,2,42.85,26.85
1007,Bibb County ,AL,22394,622.58,35.97,1262,0,33.3,28.15
1009,Blount County ,AL,57826,644.78,89.68,2171,6,30.2,28.25
1011,Bullock County ,AL,10101,622.81,16.22,473,0,49.4,25.7
1013,Butler County ,AL,19448,776.83,25.04,906,4,37.75,27.1
1015,Calhoun County ,AL,113605,605.87,187.51,5108,12,45.35,30.35
1017,Chambers County ,AL,33254,596.53,55.75,1711,0,29.95,31.65
1019,Cherokee County ,AL,26196,553.7,47.31,1144,2,30.05,32.2
1021,Chilton County ,AL,44428,692.85,64.12,1985,6,34.8,26.65
1023,Choctaw County ,AL,12589,913.5,13.78,577,1,63.4,31.05
1025,Clarke County ,AL,23622,1238.47,19.07,1471,1,49.3,30.25
1027,Clay County ,AL,13235,603.96,21.91,962,2,40.85,25.5
1029,Cleburne County ,AL,14910,560.1,26.62,477,2,29.05,30.35
1031,Coffee County ,AL,52342,678.97,77.09,2412,6,41.9,24.8
1033,Colbert County ,AL,55241,592.62,93.21,4403,3,46.35,31.65
1035,Conecuh County ,AL,12067,850.16,14.19,629,1,41.35,26.8
1037,Coosa County ,AL,10663,650.93,16.38,653,1,39.15,34.25
1039,Covington County ,AL,37049,1030.46,35.95,1440,3,36.85,26.9
1041,Crenshaw County ,AL,13772,608.84,22.62,647,2,33.1,28.3
1043,Cullman County ,AL,83768,734.84,113.99,4563,9,36.95,31.7
1045,Dale County ,AL,49172,561.15,87.63,1981,6,48.8,21.8
1047,Dallas County ,AL,37196,978.7,38.01,1753,6,43.15,33.3
1049,DeKalb County ,AL,71513,777.09,92.03,3182,9,32.4,30.2
1051,Elmore County ,AL,81209,618.49,131.3,3708,5,43.6,26.7
1053,Escambia County ,AL,36633,945.08,38.76,1936,3,35.0,28.3
