countyFIPS,County Name,State,Population,Land Area in square miles,Population Density,Cases in given period,Deaths in given period,Percentage of fully vaccinated,Percentage of vaccinated with booster
1001,Autauga County ,AL,55869,594.44,93.99,6344,56,29.45,
1003,Baldwin County ,AL,223234,1589.78,140.42,29347,302,35.05,
1005,Barbour County ,AL,24686,884.88,27.9,2752,27,29.8,
1007,Bibb County ,AL,22394,622.58,35.97,3199,32,23.85,
1009,Blount County ,AL,57826,644.78,89.68,6811,69,21.3,
1011,Bullock County ,AL,10101,622.81,16.22,919,5,36.95,
1013,Butler County ,AL,19448,776.83,25.04,2365,37,28.4,
1015,Calhoun County ,AL,113605,605.87,187.51,14072,232,31.95,
1017,Chambers County ,AL,33254,596.53,55.75,4338,24,22.6,
1019,Cherokee County ,AL,26196,553.7,47.31,2692,22,22.65,
1021,Chilton County ,AL,44428,692.85,64.12,5174,68,23.95,
1023,Choctaw County ,AL,12589,913.5,13.78,1003,7,45.85,
1025,Clarke County ,AL,23622,1238.47,19.07,2913,29,36.05,
1027,Clay County ,AL,13235,603.96,21.91,2088,15,30.0,
1029,Cleburne County ,AL,14910,560.1,26.62,1644,21,22.0,
1031,Coffee County ,AL,52342,678.97,77.09,6711,86,31.35,
1033,Colbert County ,AL,55241,592.62,93.21,7946,83,35.2,
1035,Conecuh County ,AL,12067,850.16,14.19,1512,35,31.75,
1037,Coosa County ,AL,10663,650.93,16.38,1533,21,29.5,
1039,Covington County ,AL,37049,1030.46,35.95,4474,86,26.7,
1041,Crenshaw County ,AL,13772,608.84,22.62,1869,24,25.5,
1043,Cullman County ,AL,83768,734.84,113.99,11930,126,27.35,
1045,Dale County ,AL,49172,561.15,87.63,6567,89,35.25,
1047,Dallas County ,AL,37196,978.7,38.01,3780,68,30.8,
1049,DeKalb County ,AL,71513,777.09,92.03,7914,102,22.8,
1051,Elmore County ,AL,81209,618.49,131.3,10425,97,31.2,
1053,Escambia County ,AL,36633,945.08,38.76,5274,76,25.7,
1055,Etowah County ,AL,102268,534.99,191.16,11889,182,28.6,
1057,Fayette County ,AL,16302,627.66,25.97,2042,24,25.25,
1059,Franklin County ,AL,31362,633.82,49.48,4331,34,31.45,
1061,Geneva County ,AL,26271,574.41,45.74,3083,66,29.25,
