Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
06/01/2022,Sex_Male,122617815,47.8,47.4,104625213,75,64,47.6,47.3,46.5,45.2,47.5,44.5,46619794,238269
06/01/2022,Ages_25-39_yrs,54879047,21.2,21.2,45947195,80.2,67.2,20.8,20.8,36.5,16.2,21.6,15.4,16789932,82675
06/01/2022,Race_eth_NHAsian,12937958,6.7,5,11726279,68.1,61.7,6.8,5.3,70.2,8.3,6.6,9.4,7673846,44756
06/01/2022,Sex_known,256380339,99.9,99.1,219822373,,,99.9,99.3,48.8,99.9,99.9,99.9,103145922,535522
06/01/2022,Race_eth_NHNHOPI,620786,0.3,0.2,561584,66.8,60.5,0.3,0.3,49,0.3,0.3,0.3,258829,1644
06/01/2022,Ages_12-15_yrs,11447927,4.4,4.4,9793330,67.7,57.9,4.4,4.4,23.3,2.2,4.6,9.3,2284884,49924
06/01/2022,Ages_16-17_yrs,6126979,2.4,2.4,5273272,73,62.9,2.4,2.4,30.7,1.6,2.5,3.9,1618972,20967
06/01/2022,Race_eth_NHWhite,106283372,55,41.1,96832141,53.9,49.1,56,43.7,60.1,61,56.6,51.4,56328907,244381
06/01/2022,Sex_unknown,2275201,0.9,0.9,1528171,,,0.7,0.7,12.5,0.2,0.7,0.1,188373,684
06/01/2022,Race_eth_NHBlack,19894879,10.3,7.7,17451564,48.3,42.3,10.1,7.9,45.8,8.3,10.1,11.7,7702697,55607
06/01/2022,Race_eth_NHAIAN,1771850,0.9,0.7,1478078,72.8,60.7,0.9,0.7,46.7,0.7,0.8,0.8,649839,4014
06/01/2022,Ages_50-64_yrs,59389149,23,23,51967341,93.3,81.6,23.5,23.5,54.1,27.2,24.4,25.6,28088976,137468
06/01/2022,Race_eth_NHMultiracial,3888811,2,1.5,3899650,53,53.1,2.3,1.8,74.2,2.9,2.2,3.8,2689044,18230
06/01/2022,Ages_<12yrs,10429578,4,4,8444837,21.5,17.4,3.8,3.8,0,0,0,0,0,0
06/01/2022,Race_eth_NHOther,7734960,4,3,6516472,,,3.8,2.9,47.2,3.2,3.8,3.3,2945544,15732
06/01/2022,Race_eth_known,193229069,99.9,74.7,172774383,,,99.9,78.1,55.7,99.9,99.9,99.9,92326519,475270
06/01/2022,Ages_5-11_yrs,10310926,4,4,8384176,35.9,29.2,3.8,3.8,0,0,0,0,0,0
06/01/2022,Race_eth_Hispanic,40096453,20.8,15.5,34308615,62.9,53.8,19.9,15.5,43.4,15.2,19.6,19.1,14077813,90906
06/01/2022,US,258655540,,100,221350544,77.9,66.7,,100,48.5,,100,,103334295,536206
06/01/2022,Ages_65-74_yrs,33944945,13.1,13.1,29791149,95,93.4,13.5,13.5,68,19.6,14,15.5,20244510,82968
06/01/2022,Ages_12-17_yrs,17574906,6.8,6.8,15066602,69.5,59.5,6.8,6.8,25.9,3.8,7.1,13.2,3903856,70891
06/01/2022,Ages_18-24_yrs,24003777,9.3,9.3,19519033,78.5,63.8,8.8,8.8,32,6,9.2,8.2,6243692,44055
06/01/2022,Ages_40-49_yrs,35363829,13.7,13.7,30491994,86.7,74.8,13.8,13.8,44.5,13.1,14.3,10.7,13576325,57609
06/01/2022,Sex_Female,133762524,52.2,51.7,115197160,79.4,68.3,52.4,52,50.9,54.8,52.5,55.5,56526128,297253
