outcome,month,MMWR week,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population,Crude vax IR,Crude unvax IR,Crude IRR,Age adjusted vax IR,Age adjusted unvax IR,Age adjusted IRR,Continuity correction
case,APR 2021,202114,12-17,all_types,9,37820,31430,17985455,23.79693284,174.7523207,7.343480854,,,,0
case,APR 2021,202114,18-29,all_types,676,2612741,77855,31792647,25.87321131,244.8836676,9.464757375,,,,0
case,APR 2021,202114,30-49,all_types,1858,7601712,100009,41979718,24.44186257,238.2317099,9.746872163,,,,0
case,APR 2021,202114,50-64,all_types,1560,7641882,51213,23586172,20.41381953,217.1314616,10.63649364,,,,0
case,APR 2021,202114,65-79,all_types,1685,14812372,15104,7825121,11.37562573,193.0193795,16.96780328,,,,0
case,APR 2021,202114,80+,all_types,804,5113381,3786,2574283,15.72345186,147.0700774,9.353548997,,,,0
case,APR 2021,202114,all_ages_adj,Janssen,1161,2303543,279397,125743396,50.400622,222.1961621,4.408599602,56.96648656,220.3575325,3.868195948,0
case,APR 2021,202114,all_ages_adj,Moderna,1810,16618842,279397,125743396,10.89125223,222.1961621,20.40134205,23.48165674,220.3575325,9.384241277,0
case,APR 2021,202114,all_ages_adj,Pfizer,3594,18846451,279397,125743396,19.0699034,222.1961621,11.65166689,22.35156652,220.3575325,9.858706423,0
case,APR 2021,202114,all_ages_adj,all_types,6592,37819908,279397,125743396,17.42997365,222.1961621,12.74793448,22.1036232,220.3575325,9.969294646,0
case,APR 2021,202115,12-17,all_types,5,55818,31066,17714383,8.957683901,175.3716175,19.57778589,,,,0
case,APR 2021,202115,18-29,all_types,763,3245011,71423,29845317,23.51301737,239.3105759,10.17779097,,,,0
case,APR 2021,202115,30-49,all_types,2137,9309483,93137,38802721,22.95508784,240.0269816,10.45637391,,,,0
case,APR 2021,202115,50-64,all_types,1923,9825204,46246,21386639,19.5721127,216.2378109,11.04826108,,,,0
case,APR 2021,202115,65-79,all_types,2002,17039957,14342,7166327,11.74885594,200.1304155,17.03403434,,,,0
case,APR 2021,202115,80+,all_types,950,5575643,3474,2430595,17.0383936,142.9279662,8.388582255,,,,0
case,APR 2021,202115,all_ages_adj,Janssen,1493,3010208,259688,117345982,49.59790154,221.3011435,4.461905375,53.16608282,220.4772027,4.146952174,1
case,APR 2021,202115,all_ages_adj,Moderna,2083,19493154,259688,117345982,10.68580282,221.3011435,20.70982847,12.15935752,220.4772027,18.13230693,1
case,APR 2021,202115,all_ages_adj,Pfizer,4185,22492438,259688,117345982,18.60625336,221.3011435,11.89391218,19.64771073,220.4772027,11.22152122,1
