outcome,month,mmwr_week,age_group,vaccine_product,boosted_with_outcome,boosted_population,primary_series_only_with_outcome,primary_series_only_population,unvaccinated_with_outcome,unvaccinated_population,crude_booster_ir,crude_primary_series_only_ir,crude_unvax_ir,crude_booster_irr,crude_irr,age_adj_booster_ir,age_adj_vax_ir,age_adj_unvax_ir,age_adj_booster_irr,age_adj_irr,continuity_correction
case,SEP 2021,202138,18-49,all_types,132,319803,48206,51230638,161473,34072004,41.27541017,94.09603683,473.9169437,11.48182275,5.036523956,,,,,,0
case,SEP 2021,202138,50-64,all_types,145,412535,25721,29381214,44157,9516862,35.14853285,87.54233232,463.9869739,13.2007494,5.300144074,,,,,,0
case,SEP 2021,202138,65+,all_types,258,972306,24968,28334432,23071,4724620.55,26.53485631,88.118936,488.3143473,18.40275077,5.541537034,,,,,,1
case,SEP 2021,202138,all_ages,Janssen,12,29243,9238,9282707,228701,48313486.55,41.03546148,99.51838402,473.3688589,11.53560462,4.756597121,42.79106568,98.73166718,474.362129,11.08554137,4.804559089,0
case,SEP 2021,202138,all_ages,Moderna,190,750807,31989,43028131,228701,48313486.55,25.30610397,74.34438647,473.3688589,18.70571857,6.367244138,34.56279031,76.21770805,474.362129,13.72464794,6.223778451,0
case,SEP 2021,202138,all_ages,Pfizer,333,920344,57541,56569407,228701,48313486.55,36.18212321,101.7175237,473.3688589,13.08294862,4.653759171,40.050119,101.7329772,474.362129,11.84421272,4.662815758,0
case,SEP 2021,202138,all_ages,all_types,535,1704644,98895,108946284,228701,48313486.55,31.3848522,90.77409194,473.3688589,15.08271748,5.21480137,37.52770597,91.75423194,474.362129,12.64031778,5.169920983,0
case,SEP 2021,202139,18-49,all_types,143,398128,46167,52129277,137039,33428110,35.91809669,88.56251737,409.9513852,11.41350525,4.628949102,,,,,,0
case,SEP 2021,202139,50-64,all_types,167,505826,24898,29586377,38901,9331038,33.01530566,84.15359542,416.8989559,12.62744499,4.954024292,,,,,,0
case,SEP 2021,202139,65+,all_types,297,1235602,23925,28190101,20847,4539529.55,24.03686624,84.87021739,459.2326092,19.10534446,5.410998385,,,,,,1
case,SEP 2021,202139,all_ages,Janssen,15,33216,8748,9359249,196787,47298677.55,45.15895954,93.46903795,416.0518014,9.213051091,4.451225888,46.76693718,92.78241312,419.7460673,8.975273828,4.523983082,0
case,SEP 2021,202139,all_ages,Moderna,208,886117,30983,43381288,196787,47298677.55,23.47319824,71.42019389,416.0518014,17.72454683,5.825408457,29.08829461,72.8914879,419.7460673,14.43006793,5.758505957,0
case,SEP 2021,202139,all_ages,Pfizer,383,1215171,55183,57099331,196787,47298677.55,31.51819785,96.64386436,416.0518014,13.20036772,4.304999642,35.2124571,96.2840581,419.7460673,11.92038562,4.359455507,0
case,SEP 2021,202139,all_ages,all_types,607,2139556,94990,109905755,196787,47298677.55,28.37037217,86.42859512,416.0518014,14.66501035,4.813821176,33.308631,87.04306801,419.7460673,12.60172078,4.822280244,0
case,OCT 2021,202140,18-49,all_types,195,483007,43696,52940318,120535,32865940,40.37208571,82.53822729,366.7474595,9.084184112,4.443364869,,,,,,0
case,OCT 2021,202140,50-64,all_types,170,605909,23633,29756722,34865,9165362,28.05701846,79.42071039,380.3995958,13.55809051,4.789677578,,,,,,0
case,OCT 2021,202140,65+,all_types,344,1572617,22811,27962757,19022,4384362.55,21.8743661,81.57636245,433.8601058,19.8341796,5.31845369,,,,,,1
case,OCT 2021,202140,all_ages,Janssen,15,36609,8411,9430184,174422,46415664.55,40.9735311,89.19232117,375.7826193,9.171350606,4.213172326,38.07239832,88.95666257,380.9328363,10.00548568,4.282229406,0
case,OCT 2021,202140,all_ages,Moderna,245,1018229,29889,43640026,174422,46415664.55,24.06138501,68.4898767,375.7826193,15.6176637,5.486688506,36.45795503,69.52174465,380.9328363,10.44855193,5.479333671,0
case,OCT 2021,202140,all_ages,Pfizer,447,1600901,51714,57523816,174422,46415664.55,27.92177655,89.90015544,375.7826193,13.45840651,4.179999661,33.74692147,89.32700004,380.9328363,11.28792849,4.264475871,0
case,OCT 2021,202140,all_ages,all_types,709,2661533,90140,110659797,174422,46415664.55,26.63878299,81.45686369,375.7826193,14.10659862,4.613271396,34.73440805,81.74459608,380.9328363,10.96701679,4.660036927,0
case,OCT 2021,202141,18-49,all_types,204,747895,39841,53407098,102463,32367768,27.2765562,74.59869847,316.5587445,11.60552462,4.243488841,,,,,,0
case,OCT 2021,202141,50-64,all_types,190,871807,21465,29711255,30443,9014636,21.79381446,72.24534945,337.70637,15.49551459,4.67443749,,,,,,0
case,OCT 2021,202141,65+,all_types,465,2759081,20017,26898519,17014,4253506.55,16.85343779,74.41673648,399.999384,23.73399356,5.375126658,,,,,,1
case,OCT 2021,202141,all_ages,Janssen,7,40136,7720,9494097,149920,45635910.55,17.44070162,81.31368365,328.5132217,18.83600952,4.040073047,18.28185674,80.94474948,335.0386269,18.32629101,4.139102648,0
case,OCT 2021,202141,all_ages,Moderna,217,1131760,27761,43838471,149920,45635910.55,19.1736764,63.3256575,328.5132217,17.13355409,5.187679602,24.288704,63.92266187,335.0386269,13.79401004,5.24131219,0
