outcome,month,mmwr_week,age_group,vaccine_product,one_boosted_with_outcome,one_booster_population,two_boosted_with_outcome,two_booster_population,vaccinated_with_outcome,fully_vaccinated_population,unvaccinated_with_outcome,unvaccinated_population,crude_one_booster_ir,crude_two_booster_ir,crude_vax_ir,crude_unvax_ir,crude_irr,crude_one_booster_irr,crude_two_booster_irr,crude_one_two_booster_irr,age_adj_one_booster_ir,age_adj_two_booster_ir,age_adj_vax_ir,age_adj_unvax_ir,age_adj_one_booster_irr,age_adj_two_booster_irr,age_adj_vax_irr,age_adj_one_two_booster_irr,continuity_correction
case,MAR 2022,202213,50-64,all_types,9958,17514923,57,179056,4344,15120733,5370,6498285.05,56.85437498,31.8336163,28.72876599,82.63718748,2.876461436,1.453488628,2.595909516,1.785985433,,,,,,,,,1
case,MAR 2022,202213,65+,all_types,8971,20557471,86,328799,2811,10234398,3912,3000193.15,43.63863629,26.15579731,27.46619782,130.391605,4.747348207,2.987985328,4.985189455,1.668411625,,,,,,,,,1
case,MAR 2022,202213,all_ages,Janssen,840,2076708,5,27286,688,2545266,9282,9498478.2,40.44863313,18.32441545,27.03057362,97.72091702,3.615199529,2.415926311,5.332825884,2.207362807,39.35448485,14.9808566,27.66770252,104.47688,2.654764264,6.97402577,3.776131391,2.626984951,1
case,MAR 2022,202213,all_ages,Moderna,7794,17099068,59,222970,2723,10482798,9282,9498478.2,45.58143169,26.46095887,25.97588926,97.72091702,3.761985433,2.143875552,3.69302252,1.722591835,47.55327282,27.36389192,25.96568845,104.47688,2.1970492,3.818056302,4.02365145,1.737811016,1
case,MAR 2022,202213,all_ages,Pfizer,10279,18857266,79,252052,3736,12304062,9282,9498478.2,54.50949252,31.3427388,30.36395623,97.72091702,3.218319651,1.7927321,3.117816782,1.739142609,55.22631849,32.45442033,30.31982534,104.47688,1.891795123,3.219187985,3.445827237,1.701657831,1
case,MAR 2022,202213,all_ages,all_types,18929,38072394,143,507855,7155,25355131,9282,9498478.2,49.71843904,28.15764342,28.21914034,97.72091702,3.462930332,1.965486426,3.470493448,1.765717333,50.81037561,29.23695975,28.15135133,104.47688,2.056211527,3.573452264,3.7112563,1.737881642,1
case,APR 2022,202214,50-64,all_types,13529,17589646,97,191107,5653,15052015,6730,6474718.05,76.91456667,50.75690582,37.55643347,103.9427501,2.767641665,1.351405261,2.047854344,1.515351762,,,,,,,,,1
case,APR 2022,202214,65+,all_types,12619,20584308,169,362140,3398,10184338,4747,2975479.15,61.30397971,46.66703485,33.36495706,159.5373303,4.781583565,2.602397611,3.418630107,1.313646344,,,,,,,,,1
case,APR 2022,202214,all_ages,Janssen,998,2086187,5,28578,828,2536496,11477,9450197.2,47.83847277,17.49597593,32.64345775,121.4472011,3.720414733,2.538693108,6.941436227,2.73425575,46.75176896,18.04923425,33.4514488,129.3680113,2.767125483,7.167506912,3.86733657,2.590235591,1
case,APR 2022,202214,all_ages,Moderna,10650,17140948,103,242190,3493,10431916,11477,9450197.2,62.13191943,42.52859325,33.48378189,121.4472011,3.627045521,1.954666816,2.855659965,1.460944618,64.32789906,44.37124892,33.46957676,129.3680113,2.011071606,2.915581924,3.865241924,1.449765346,1
case,APR 2022,202214,all_ages,Pfizer,14479,18907455,158,276828,4722,12245036,11477,9450197.2,76.57825974,57.07515136,38.56256527,121.4472011,3.149354828,1.585922709,2.127847202,1.341709271,77.5065096,58.05930157,38.10535444,129.3680113,1.669124464,2.228204745,3.395008738,1.334954219,1
case,APR 2022,202214,all_ages,all_types,26148,38173954,266,553247,9051,25236353,11477,9450197.2,68.49696523,48.07979076,35.86492866,121.4472011,3.386238469,1.773030392,2.525951116,1.424651899,69.77532307,48.88647102,35.6395311,129.3680113,1.854065386,2.646294743,3.62990217,1.427293106,1
case,APR 2022,202215,50-64,all_types,18060,17584154,211,301531,7482,14968522,8521,6449467.05,102.7061069,69.97622135,49.98489497,132.1194439,2.643187386,1.286383526,1.888061992,1.467728678,,,,,,,,,1
