countyFIPS,Population,Cases_begin,Cases_end,Deaths_begin,Deaths_end,Booster_begin,Booster_end,Booster_pct_begin,Booster_pct_end,Booster18_begin,Booster18_end,Booster18_pct_begin,Booster18_pct_end,Booster65_begin,Booster65_end,Booster65_pct_begin,Booster65_pct_end,Complete_begin,Complete_end,Complete_pct_begin,Complete_pct_end,Complete18_begin,Complete18_end,Complete18_pct_begin,Complete18_pct_end,Complete65_begin,Complete65_end,Complete65_pct_begin,Complete65_pct_end,Cases_diff,Cases_diff_pct,Deaths_diff,Deaths_diff_pct
1001,55869,8798,10526,118,157,,,,,,,,,,,,,15947,20677,28.5,37.0,15166,19438,35.3,45.3,4946,5822,55.4,65.2,1728,3.0929495784782257,39,0.06980615368093218
1003,223234,33270,38104,385,589,,,,,,,,,,,,,79462,102932,35.6,46.1,76341,98166,43.5,55.9,31047,37034,66.3,79.1,4834,2.1654407482731126,204,0.09138392897139325
1005,24686,3086,3699,65,80,,,,,,,,,,,,,7164,10062,29.0,40.8,7003,9611,35.7,49.0,2865,3366,58.9,69.2,613,2.48318885198088,15,0.060763185611277644
1007,22394,3510,4345,73,94,,,,,,,,,,,,,5626,7145,25.1,31.9,5411,6809,30.3,38.2,1954,2216,52.3,59.4,835,3.7286773242832902,21,0.09377511833526837
1009,57826,8631,10729,145,192,,,,,,,,,,,,,11789,16677,20.4,28.8,11460,15971,25.7,35.8,4619,5615,42.7,51.9,2098,3.628125756580085,47,0.08127831771175596
1011,10101,1392,1525,41,45,,,,,,,,,,,,,3448,4644,34.1,46.0,3315,4365,41.5,54.6,1020,1291,59.6,75.5,133,1.3167013167013166,4,0.0396000396000396
1013,19448,2831,3439,75,100,,,,,,,,,,,,,5331,7008,27.4,36.0,5170,6678,34.1,44.0,2152,2521,53.1,62.3,608,3.126285479226656,25,0.12854792266556972
1015,113605,17999,22598,354,518,,,,,,,,,,,,,34307,49219,30.2,43.3,33150,47157,37.2,52.9,12490,15983,60.8,77.8,4599,4.048237313498525,164,0.14435984331675542
1017,33254,4768,5785,127,142,,,,,,,,,,,,,7712,9575,23.2,28.8,7486,9211,28.4,35.0,3036,3362,45.2,50.1,1017,3.058278703313887,15,0.04510735550610453
1019,26196,2481,3183,49,63,,,,,,,,,,,,,5803,7735,22.2,29.5,5689,7530,26.8,35.4,2758,3252,44.7,52.8,702,2.679798442510307,14,0.053443273782256835
1021,44428,5674,7042,120,170,,,,,,,,,,,,,11176,14765,25.2,33.2,10747,14022,31.8,41.4,4251,4836,55.9,63.6,1368,3.0791392815341676,50,0.11254164040695057
1023,12589,688,932,25,28,,,,,,,,,,,,,5684,7620,45.2,60.5,5554,7361,54.9,72.8,2330,2783,78.5,93.7,244,1.9382000158868853,3,0.023830328064183018
1025,23622,4203,4848,68,86,,,,,,,,,,,,,8181,11156,34.6,47.2,7866,10629,42.3,57.2,3046,3705,62.9,76.5,645,2.730505461010922,18,0.0762001524003048
1027,13235,2015,2511,60,69,,,,,,,,,,,,,3829,5233,28.9,39.5,3769,5060,35.7,47.9,1450,1802,52.1,64.7,496,3.747638836418587,9,0.0680015111446921
