countyFIPS,County Name,State,Population,Land Area in square miles,Cases in given period,Deaths in given period,Percentage of fully vaccinated,Percentage of vaccinated with booster
1001,Autauga County ,AL,55869,594.44,2233,3,40.5,40.5
1003,Baldwin County ,AL,223234,1589.78,10402,15,48.6,48.6
1005,Barbour County ,AL,24686,884.88,1194,2,42.85,42.85
1007,Bibb County ,AL,22394,622.58,1262,0,33.3,33.3
1009,Blount County ,AL,57826,644.78,2171,6,30.200000000000003,30.200000000000003
1011,Bullock County ,AL,10101,622.81,473,0,49.4,49.4
1013,Butler County ,AL,19448,776.83,906,4,37.75,37.75
1015,Calhoun County ,AL,113605,605.87,5108,12,45.35,45.35
1017,Chambers County ,AL,33254,596.53,1711,0,29.950000000000003,29.950000000000003
1019,Cherokee County ,AL,26196,553.7,1144,2,30.05,30.05
1021,Chilton County ,AL,44428,692.85,1985,6,34.8,34.8
1023,Choctaw County ,AL,12589,913.5,577,1,63.400000000000006,63.400000000000006
1025,Clarke County ,AL,23622,1238.47,1471,1,49.3,49.3
1027,Clay County ,AL,13235,603.96,962,2,40.85,40.85
1029,Cleburne County ,AL,14910,560.1,477,2,29.05,29.05
1031,Coffee County ,AL,52342,678.97,2412,6,41.9,41.9
1033,Colbert County ,AL,55241,592.62,4403,3,46.35,46.35
1035,Conecuh County ,AL,12067,850.16,629,1,41.35,41.35
1037,Coosa County ,AL,10663,650.93,653,1,39.150000000000006,39.150000000000006
1039,Covington County ,AL,37049,1030.46,1440,3,36.85,36.85
1041,Crenshaw County ,AL,13772,608.84,647,2,33.1,33.1
1043,Cullman County ,AL,83768,734.84,4563,9,36.95,36.95
1045,Dale County ,AL,49172,561.15,1981,6,48.8,48.8
1047,Dallas County ,AL,37196,978.7,1753,6,43.150000000000006,43.150000000000006
1049,DeKalb County ,AL,71513,777.09,3182,9,32.4,32.4
1051,Elmore County ,AL,81209,618.49,3708,5,43.6,43.6
1053,Escambia County ,AL,36633,945.08,1936,3,35.0,35.0
1055,Etowah County ,AL,102268,534.99,4987,7,39.650000000000006,39.650000000000006
1057,Fayette County ,AL,16302,627.66,744,0,33.650000000000006,33.650000000000006
1059,Franklin County ,AL,31362,633.82,2004,5,41.95,41.95
1061,Geneva County ,AL,26271,574.41,792,4,38.05,38.05
1063,Greene County ,AL,8111,647.11,298,2,48.7,48.7
1065,Hale County ,AL,14651,643.94,917,3,58.900000000000006,58.900000000000006
1067,Henry County ,AL,17205,561.75,695,1,43.7,43.7
1069,Houston County ,AL,105882,579.82,4114,12,41.45,41.45
1071,Jackson County ,AL,51626,1077.87,2458,6,47.0,47.0
1073,Jefferson County ,AL,658573,1111.28,39888,17,55.35,55.35
1075,Lamar County ,AL,13805,604.85,609,1,42.1,42.1
1077,Lauderdale County ,AL,92729,667.7,5263,11,44.55,44.55
1079,Lawrence County ,AL,32924,690.68,1577,4,45.55,45.55
1081,Lee County ,AL,164542,607.54,7656,6,37.8,37.8
1083,Limestone County ,AL,98915,559.94,4983,7,36.3,36.3
1085,Lowndes County ,AL,9726,715.91,499,0,47.15,47.15
1087,Macon County ,AL,18068,608.89,852,0,45.55,45.55
1089,Madison County ,AL,372909,801.59,19639,30,58.85,58.85
1091,Marengo County ,AL,18863,976.88,863,0,52.35,52.35
1093,Marion County ,AL,29709,742.29,1564,2,35.15,35.15
1095,Marshall County ,AL,96774,565.84,4650,14,43.75,43.75
1097,Mobile County ,AL,413210,1229.44,24219,34,47.45,47.45
1099,Monroe County ,AL,20733,1025.68,1183,1,42.05,42.05
1101,Montgomery County ,AL,226486,784.25,10844,12,50.2,50.2
1103,Morgan County ,AL,119679,579.34,7938,13,42.0,42.0
1105,Perry County ,AL,8923,719.66,386,-1,46.5,46.5
1107,Pickens County ,AL,19930,881.41,1244,1,47.15,47.15
1109,Pike County ,AL,33114,672.09,1197,4,40.1,40.1
1111,Randolph County ,AL,22722,580.55,1020,2,31.9,31.9
1113,Russell County ,AL,57961,641.14,1591,2,38.4,38.4
1115,St. Clair County ,AL,89512,631.9,5019,7,37.6,37.6
1117,Shelby County ,AL,217702,784.93,12001,13,34.75,34.75
1119,Sumter County ,AL,12427,903.89,644,0,48.400000000000006,48.400000000000006
1121,Talladega County ,AL,79978,736.78,4530,9,35.35,35.35
